 Date,GRA Purchases,PRGT 1/2/,Totals,Year
08/31/2022,93769635059,15254184552,109.0238196,2022
12/31/2021,89474552025,14554823681,104.0293757,2021
12/31/2020,93408630285,12481816684,105.890447,2020
12/31/2019,66945509865,6590835450,73.53634532,2019
12/31/2018,55395611392,6426181029,61.82179242,2018
12/31/2017,39585385873,6522280669,46.10766654,2017
12/31/2016,49267630851,6482647937,55.75027879,2016
12/31/2015,50757840741,6575911158,57.3337519,2015
12/31/2014,69041563463,6292755583,75.33431905,2014
12/31/2013,83899249061,6174392682,90.07364174,2013
12/31/2012,90042348252,5766292503,95.80864076,2012
12/31/2011,87276915790,5308609594,92.58552538,2011
12/31/2010,55620104510,4819344134,60.43944864,2010
12/31/2009,37221142436,5079705286,42.30084772,2009
12/31/2008,17514964723,3972372030,21.48733675,2008
12/31/2007,6036146757,3796945581,9.833092338,2007
12/31/2006,9822640239,3844020520,13.66666076,2006
12/31/2005,28432143237,6282121668,34.71426491,2005
12/31/2004,55373766674,6766029353,62.13979603,2004
12/31/2003,65032062712,6880893268,71.91295598,2003
12/31/2002,63601058794,6868671012,70.46972981,2002
12/31/2001,53477225409,6424578684,59.90180409,2001
12/31/2000,42990531049,6331595468,49.32212652,2000
12/31/1999,51061861875,6434274362,57.49613624,1999
12/31/1998,60451017051,6288825925,66.73984298,1998
12/31/1997,46559033783,6009867422,52.56890121,1997
12/31/1996,36127472805,5881609752,42.00908256,1996
12/31/1995,35929173412,5657438528,41.58661194,1995
12/31/1994,25611676952,4599768498,30.21144545,1994
12/31/1993,25196745031,3942792899,29.13953793,1993
12/31/1992,23967172718,3804463796,27.77163651,1992
12/31/1991,23378573926,3285717796,26.66429172,1991
12/31/1990,20731851093,2571911617,23.30376271,1990
12/31/1989,22315104224,2334886562,24.64999079,1989
12/31/1988,24750004884,1773964293,26.52396918,1988
12/31/1987,28751979125,1866342930,30.61832206,1987
12/31/1986,33334905644,2013169931,35.34807558,1986
12/31/1985,35194787249,2470247948,37.6650352,1985
12/31/1984,34936772393,2769874900,37.70664729,1984
,,,,
,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,
,,,,
 2/ Formerly PRGF-ESF.,,,,
